Clade0,Clade1,Clade2,Clade3,Clade4,Clade5,Order,Stem or crown (order level),Family,N_extant,N_fossils,oldest_fossil,youngest_fossil,root_est,root_lower,root_upper,ext_est,ext_lower,ext_upper,q_est,q_lower,q_upper,a_est,a_lower,a_upper,sig2_est,sig2_lower,sig2_upper,Horizons,alpha,strat_range,marsh_origin_lower,marsh_origin_upper,marsh_ext_lower,marsh_ext_upper
Theriiformes,Theria,Metatheria,Marsupialia,Australidelphia,NA,Diprotodontia,Crown,Hypsiprymnodontidae,1,4,13,12,18.89102041,13.00057079,29.40018333,0,0,0,0.057214433,0.000257434,0.159985688,3.783555302,0.000728088,10.47125377,1.566822275,-0.865039932,3.639488704,2,19,1,13,32,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Crown,Hyrachyidae,0,31,55,38,56.26354809,55.00002159,58.6467576,37.29566539,36.13377718,37.99997512,0.567008094,0.044061997,1.237553189,5.448079621,0.000319689,13.30024218,0.495134456,-0.578783715,2.142952033,61,0.06,17,55,56.02,36.98,38
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Crown,Hyracodontidae,0,65,55,24,57.01299261,55.00012165,59.98977249,22.80660317,21.00695733,23.99947167,0.178299423,0.023147514,0.373118481,2.179946162,1.08E-05,5.578515053,2.099140335,0.842862386,3.388318552,95,0.04,31,55,56.24,22.76,24
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Crown,Hystricidae,12,22,12,1,14.38830016,12.00082173,18.59170581,0,0,0,0.123402608,0.000118539,0.313402753,11.27529469,0.000675461,26.63016558,2.117210539,-1.051221421,5.074599853,85,0.036307049,11,12,12.39937754,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Chiroptera,Crown,Icaronycteridae,0,4,55,51,56.58745263,55.00047373,59.6834876,50.07214182,48.19255507,50.99986258,0.308350693,0.001230564,0.916076535,36.23078714,0.000116987,86.31413273,0.797506424,-2.052269786,3.362258348,4,2.3,4,55,64.2,41.8,51
Theriiformes,Theria,Eutheria,Marsupialia,Australidelphia,NA,Diprotodontia,Crown,Ilariidae,0,5,25,24,26.99598625,26.00232715,28.88910372,22.30208096,21.13038342,22.99992401,0.457183304,0.000167841,1.111799635,23.67704764,0.000940826,67.13240832,1.996425193,-0.224438192,3.576164557,5,1.47,1,25,26.47,22.53,24
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Crown,Indolophidae,0,3,42,39,43.68326366,42.00008545,47.25068043,37.92500537,35.68704333,38.99996919,0.464290106,0.000605224,1.372704812,23.19461755,0.008485887,63.25299674,1.077211953,-1.738991231,3.462076287,4,2.3,3,42,48.9,32.1,39
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Iniidae,3,13,11,1,13.69880925,12.00000213,17.07596437,0,0,0,0.139552567,0.004303495,0.333836487,5.393176988,0.000950617,15.01796082,2.801909768,0.739712911,4.529426846,13,0.283568842,10,11,13.83568842,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Notoungulata,Extinct order,Interatheriidae,0,71,50,8,53.78381589,50.00014222,60.46655948,5.955826582,4.089328817,6.999841031,0.046978136,0.001399746,0.119608833,5.048364735,0.588273518,9.20106687,2.237138708,0.977025435,3.548882042,94,0.04,42,50,51.68,6.32,8
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Inticetidae,0,1,21,21,22.36773692,21.00002885,24.81968,19.96944385,18.06923963,20.99995637,1.024688108,1.66E-05,3.034757752,39.73905624,0.044064832,92.12354757,1.632460009,-1.034643231,3.727563353,1,NA,0,21,NA,NA,21
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Crown,Ischyromyidae,0,257,59,32,60.43158104,59.00298588,62.03448696,30.97256459,29.4744528,31.99952084,0.252685242,0.125361145,0.407028577,1.584787928,0.000405754,4.276243953,4.380174553,3.999993416,4.770820932,410,0,27,59,59,32,32
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Stem,Isotemnidae,0,57,52,30,53.98764102,52.00182019,56.48308359,28.81377986,27.01172774,29.99941278,0.178427902,0.054425542,0.325395538,1.825332983,7.07E-05,5.199678301,3.186655741,2.207871905,4.119634673,37,0.11,22,52,54.42,27.58,30
